Lat	Long	CentroidSize	LogCentroidSize	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	APE	AAE	AWB
-39.55	-70.57	20.449663	3.017966	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	20.141352	3.002775	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	19.407293	2.965649	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	21.236977	3.055744	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	19.523481	2.971618	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	22.128346	3.096859	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	20.957703	3.042506	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	19.771187	2.984226	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	19.564954	2.973740	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-0.15	-78.43	21.651737	3.075086	152	140	88	185	231	72	159	153	149	153	149	945	142	14	48	375	73	362	73	1195	1203	133
-49.22	-67.77	23.166156	3.142692	94	107	47	4462	219	-8	227	38	97	148	37	243	29	15	22	81	46	63	70	683	0	0
-31.4	-64.77	21.292943	3.058376	117	141	53	4410	253	-13	266	175	59	175	59	655	106	10	66	296	33	296	33	846	687	-130
-49.22	-67.77	21.930575	3.087882	94	107	47	4462	219	-8	227	38	97	148	37	243	29	15	22	81	46	63	70	683	0	0
-24.27	-65.27	20.526784	3.021731	170	131	55	3575	274	37	237	210	137	210	121	846	188	7	96	513	23	513	29	1188	677	-477
-24.87	-65.67	19.320783	2.961181	131	153	58	3721	246	-15	261	173	81	173	79	314	84	1	111	220	4	220	5	1170	651	-481
-39.55	-70.57	20.223091	3.006825	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-39.55	-70.57	19.942381	2.992847	95	140	54	4705	248	-10	258	42	146	156	36	361	75	8	70	193	32	32	175	629	345	390
-52.43	-71.87	21.910087	3.086947	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-52.85	-72.03	19.298445	2.960025	56	78	47	3056	146	-18	164	76	57	94	15	834	88	62	11	242	188	211	194	392	431	852
-52.43	-71.87	23.378801	3.151830	35	87	48	3276	132	-46	178	57	38	76	-9	595	65	42	13	175	132	150	139	347	320	150
-53.13	-71	21.798686	3.081850	49	71	45	3020	138	-18	156	48	49	87	9	510	52	33	14	155	108	125	122	0	0	0
-53.22	-71.18	19.894170	2.990427	48	71	46	2956	135	-19	154	47	48	85	9	605	63	41	13	182	131	149	143	373	295	206
